FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,0,0,0,0
2020,0,0,0,0
2021,26439.63463,26439.63463,26439.63463,26439.63463
2022,39175.22876,39175.22876,39175.22876,39175.22876
2023,38165.6463,40725.62982,100129.6165,100129.6165
2024,36765.84363,42444.08439,95677.78431,95677.78431
2025,35223.02982,44269.81094,90313.82398,90313.82398
2026,33561.46304,46165.99283,84051.19477,84051.19477
2027,31774.94917,48103.82359,84934.15395,84934.15395
2028,29856.99033,50052.28926,85726.81433,85726.81433
2029,27806.22325,51978.4666,86504.15136,86504.15136
2030,25615.83605,53847.8786,87237.56041,87237.56041
2031,23278.68384,55647.38205,87896.68248,87896.68248
2032,20787.27258,57367.3784,88449.75782,88449.75782
2033,18133.74215,58999.05749,88885.96283,88885.96283
2034,15309.8486,60533.96715,89193.71903,89193.71903
2035,12312.62647,61963.74686,89361.79933,89361.79933
2036,9127.640336,63279.73377,89379.03959,89379.03959
2037,5751.15389,64472.85955,89234.04642,89234.04642
2038,2173.566344,65533.63175,88914.92158,147766.1773
2039,-1615.190474,66452.05902,88409.18027,140701.3877
2040,-1598.503915,67217.61641,87703.69598,132573.3652
2041,-1580.471541,67819.21586,86784.6542,123386.8265
2042,-1560.995077,68245.17714,85637.51192,121076.1855
2043,-1539.970248,68483.23344,84246.99482,118486.6756
2044,-1517.286734,68520.50605,82597.06365,115682.9631
2045,-1492.828505,68343.4038,80670.80524,112626.5426
2046,-1466.500164,67937.62113,78450.42204,109276.4583
2047,-1438.202895,67288.1427,75917.22772,105589.5673
2048,-1407.834227,66379.17334,73051.56778,101542.7043
2049,-1375.287508,65194.10084,69832.77252,97111.36318
2050,-1340.451344,63715.45745,66239.10813,92270.69928
2051,-1303.209047,61924.8792,62247.72516,86995.24856
2052,-1263.438288,59803.06354,57834.60474,81258.6133