Private.Equity,Real.Estate,Hedge.Funds,Commodities,Other.Alternatives,Total.Equity,Fixed.Income,Cash.Equivalents
0.048,0,0.011,0,0.006,0.608,0.326,0.001
0.04087,0,0.01165,0,0.00548,0.579,0.362,0.001
0.041,0,0.012,0,0.003,0.577,0.353,0.014
0.044,0,0.028,0,0.003,0.633,0.246,0.046
0.047,0,0.049,0,0,0.628,0.252,0.024
0.052,0,0.051,0,0,0.634,0.239,0.024
0.061,0,0.049,0,0.002,0.642,0.203,0.043
0.08367,0,0.097,0,0.0524,0.54781,0.20916,0.00996
0.102,0,0.1,0,0.048,0.5,0.24,0.01
0.11,0,0.101,0,0.041,0.482,0.25,0.016
0.11,0,0.09,0,0.05,0.5,0.22,0.03
0.13,0,0.08,0,0.06,0.5,0.2,0.03
0.124007555,0,0.080450139,0,0.075542305,0.53,0.16,0.03
0.126574539,0,0.07847805,0,0.079947411,0.549,0.137,0.029
0.116205037,0,0.085242724,0,0.079552239,0.545,0.142,0.032
0.127323085,0,0.087240544,0,0.071436371,0.53,0.154,0.03
0.121460613,0,0.075014845,0,0.068524542,0.563,0.16,0.012
0.127789308,0,0.063323578,0,0.069887114,0.567,0.162,0.01
0.144893293,0,0.066729202,0,0.078377505,0.546,0.158,0.006
0.167709725,0,0.064166667,0,0.053123608,0.475,0.194,0.046
0.185003528,0,0.056977394,0,0.026277687,0.534741392,0.184,0.013