year,contributions,interest,neg_amo
2001,-101723386,-324553054,-222829668
2002,-239760838,-111504924,128255914
2003,-300420196,398330448,698750644
2004,162011495,249926052,87914557
2005,166711670,629506847,462795177
2006,525641861,1034590477,508948616
2007,574389695,1072449265,498059570
2008,708489445,1025757368,317267923
2009,667109404,892121602,225012198
2010,810168821,1695699060,885530239
2011,945400109,1772393550,826993441
2012,641450410,1899322955,1257872545
2013,905905437,2108498512,1202593075
2014,1113519028,2270361259,1156842231
2015,1556546056,2468763990,912217934
2016,2030604511,2556194776,525590265
2017,2327978518,2743089354,415110836
2018,2372106288,2742775889,370669601
2019,2302801959,3263513138,960711179
2020,2171486359,3509047018,1337560659
2021,2271801677,3586540448,1314738771