Cash.Equivalents,Fixed.Income,Total.Equity,Other.Alternatives,Real.Estate
0.0796,0.4095,0.5109,0.0000,0.0000
0.0883,0.5060,0.4056,0.0000,0.0000
0.0589,0.3734,0.5676,0.0000,0.0000
0.0541,0.3991,0.5468,0.0000,0.0000
0.0091,0.3701,0.6160,0.0000,0.0000
0.0178,0.3618,0.6204,0.0000,0.0000
0.0302,0.3349,0.6199,0.0016,0.0134
0.0076,0.3798,0.5981,0.0006,0.0139
0.0486,0.3164,0.6133,0.0059,0.0158
0.0682,0.3179,0.5807,0.0153,0.0180
0.0603,0.3234,0.5489,0.0477,0.0196
0.0277,0.3270,0.5325,0.0933,0.0195
0.0280,0.2845,0.5267,0.1385,0.0223
0.0145,0.2315,0.5225,0.2055,0.0259
0.0214,0.2371,0.4656,0.2471,0.0288
0.0238,0.2398,0.4580,0.2508,0.0277
0.0129,0.2115,0.4649,0.2846,0.0261
0.0295,0.2238,0.4203,0.2920,0.0344
0.0194,0.2572,0.3855,0.2915,0.0392
0.0141,0.2331,0.4304,0.3008,0.0216