year,50_75perc,median,25_50perc,25_perc,75perc,50perc,25perc
2020,0,0.114793939,0,0.114793939,0.114793939,0.114793939,0.114793939
2021,0,0.115319638,0,0.115319638,0.115319638,0.115319638,0.115319638
2022,0.00486739,0.118076675,0.005116255,0.11296042,0.122944065,0.118076675,0.11296042
2023,0.012228497,0.121225731,0.012185918,0.109039813,0.133454228,0.121225731,0.109039813
2024,0.020573482,0.123029168,0.021342123,0.101687045,0.14360265,0.123029168,0.101687045
2025,0.029854159,0.121671031,0.031096951,0.09057408,0.151525191,0.121671031,0.09057408
2026,0.036233039,0.120721942,0.039296653,0.081425289,0.156954981,0.120721942,0.081425289
2027,0.042370182,0.119410191,0.045374783,0.074035408,0.161780374,0.119410191,0.074035408
2028,0.047155852,0.118755908,0.051661977,0.067093931,0.16591176,0.118755908,0.067093931
2029,0.051896002,0.117832392,0.05752906,0.060303333,0.169728395,0.117832392,0.060303333
2030,0.056652996,0.116952316,0.062039247,0.054913068,0.173605312,0.116952316,0.054913068
2031,0.059525362,0.117038109,0.068549192,0.048488917,0.176563471,0.117038109,0.048488917
2032,0.062939005,0.116361371,0.072106755,0.044254617,0.179300377,0.116361371,0.044254617
2033,0.064477307,0.116432849,0.077323318,0.039109531,0.180910156,0.116432849,0.039109531
2034,0.06660361,0.116793498,0.082245423,0.034548075,0.183397108,0.116793498,0.034548075
2035,0.067828725,0.117656051,0.088873096,0.028782955,0.185484777,0.117656051,0.028782955
2036,0.069415861,0.118280316,0.095918491,0.022361825,0.187696177,0.118280316,0.022361825
2037,0.072778011,0.116720261,0.097649021,0.01907124,0.189498272,0.116720261,0.01907124
2038,0.075457232,0.116742329,0.10229071,0.014451619,0.192199562,0.116742329,0.014451619
2039,0.078252785,0.115284242,0.106587464,0.008696778,0.193537027,0.115284242,0.008696778
2040,0.079784588,0.115747034,0.112517259,0.003229774,0.195531622,0.115747034,0.003229774
2041,0.081699663,0.114869281,0.114308056,0.000561225,0.196568944,0.114869281,0.000561225
2042,0.084062344,0.114071494,0.114071494,0,0.198133838,0.114071494,0
2043,0.083575001,0.114530925,0.114530925,0,0.198105927,0.114530925,0
2044,0.087124736,0.112496369,0.112496369,0,0.199621105,0.112496369,0
2045,0.089096737,0.111450717,0.111450717,0,0.200547454,0.111450717,0
2046,0.091873735,0.109400687,0.109400687,0,0.201274422,0.109400687,0
2047,0.094619417,0.107096753,0.107096753,0,0.201716169,0.107096753,0
2048,0.09671625,0.105996797,0.105996797,0,0.202713047,0.105996797,0
2049,0.098975755,0.105286959,0.105286959,0,0.204262714,0.105286959,0
2050,0.10188385,0.103618615,0.103618615,0,0.205502465,0.103618615,0